sym,label,resource,parent
crypto,Cryptocurrencies,https://en.wikipedia.org/wiki/Cryptocurrency,
cryptoEx,Cryptocurrency Exchange,https://en.wikipedia.org/wiki/Cryptocurrency_exchange,
dataFabric,Data Fabric,https://www.netapp.com/data-fabric/what-is-data-fabric/,
dbrPaas,Data Broker PaaS,https://www.databroker.global/about,
dataObs,Data Observability,https://databand.ai/data-observability/,
deepLearning,Deep Neural Networks,https://en.wikipedia.org/wiki/Deep_learning,aiBase
deepLearningReinf,Deep Reinforcement Learning,https://en.wikipedia.org/wiki/Deep_reinforcement_learning,deepLearning
deepLearningAsic,Deep Neural Network ASICs,https://en.wikipedia.org/wiki/Deep_learning,deepLearning
deliveryDrone,Commercial UAVs (Drones),https://en.wikipedia.org/wiki/Unmanned_aerial_vehicle,
digDex,Digital Dexterity,https://bloomfire.com/blog/what-is-digital-dexterity/,
digops,Digital Ops,https://medium.com/@mattlindop/the-5-facets-of-digital-ops-c27190155eaf,
digitalHuman,Digital Humans,https://www2.deloitte.com/nl/nl/pages/customer-and-marketing/articles/digital-human.html,
digitalTwin,Digital Twin,https://en.wikipedia.org/wiki/Digital_twin,
digitalTwinPers,Digital Twin of the Person,https://en.wikipedia.org/wiki/Digital_twin,digitalTwin
digitalTwinCust,Digital Twin of a Customer,https://www.linkedin.com/pulse/digital-twins-customer-whats-next-cx-michelle-duerst/,digitalTwin
digitalPlatformCond,Digital Platform Conductor Tools,https://cloudsoft.io/blog/digital-platform-conductor-tools-an-innovative-solution-to-the-complexity-crisis,
digsec,Digital Security,???,
dao,Decentralized Autonomous Organization,https://en.wikipedia.org/wiki/Decentralized_autonomous_organization,
dataSci,Data Science,https://en.wikipedia.org/wiki/Data_science,
dcid,Decentralized Identity,https://www.gsma.com/identity/decentralised-identity,
defi,Decentralized Finance,https://en.wikipedia.org/wiki/Decentralized_finance,
dcweb,Decentralized Web,https://www.theguardian.com/technology/2018/sep/08/decentralisation-next-big-step-for-the-world-wide-web-dweb-data-internet-censorship-brewster-kahle,
diffPriv,Differential Privacy,https://en.wikipedia.org/wiki/Differential_privacy,
dnaComputing,DNA Computing and Storage,https://en.wikipedia.org/wiki/DNA_digital_data_storage,
droneDelivery,Light Cargo Delivery Drones,https://en.wikipedia.org/wiki/Delivery_drone,
dynRiskGov,Dynamic Risk Governance,https://www.gartner.com/en/articles/why-dynamic-risk-governance-starts-with-shared-data,
electroVibration,Electrovibration,https://en.wikipedia.org/wiki/Electrovibration,
ePaper,Electronic Paper,https://en.wikipedia.org/wiki/Electronic_paper,
erasablePaper,Erasable Paper Printing Systems,,https://idm.net.au/blog/0011540-erasable-printing-set-go-mainstream
exoskeleton,Exoskeleton,https://en.wikipedia.org/wiki/Powered_exoskeleton,
expertiseLoc,Expertise Location and Management,https://en.wikipedia.org/wiki/Expertise_finding,
extremeTransaction,Extreme Transaction Processing,https://www.atomikos.com/Main/ForExtremeTransactionProcessing,
finopsAug,Augmented FinOps,https://www.decisioninc.uk/blog/how-data-analytics-leaders-should-expand-value-while-managing-and-risk/,
foundModel,Foundation Models,https://en.wikipedia.org/wiki/Foundation_models,
edgeComp,Edge Computing,https://en.wikipedia.org/wiki/Edge_computing,
gameOfLife,Gamification,https://en.wikipedia.org/wiki/Gamification,
gan,Generative Aversarial Networks,https://en.wikipedia.org/wiki/Generative_adversarial_network,
gestureRecog,Gesture Recognition,https://en.wikipedia.org/wiki/Gesture_recognition,
greenIT,Green IT,https://en.wikipedia.org/wiki/Green_computing,
groupon,Group Buying,https://en.wikipedia.org/wiki/Group_buying,
hpMonHome,Home Health Monitoring,???,
hpMonMobile,Mobile Health Monitoring,https://www.intechopen.com/chapters/51898,
hpPass,Health Passport,https://www.theguardian.com/world/2020/oct/17/digital-health-passport-trials-commonpass-travel-covid-19,
holoDisplay,Volumetric and Holographic Displays,https://en.wikipedia.org/wiki/Holographic_display,
homoEncr,Homomorphic Encryption,https://en.wikipedia.org/wiki/Homomorphic_encryption,
html5,HTML5,https://en.wikipedia.org/wiki/HTML5,
humanAug,Human Augmentation,https://www.gov.uk/government/publications/human-augmentation-the-dawn-of-a-new-paradigm,
ideaMgmt,Idea Management,https://www.braineet.com/blog/idea-management,
imageRecog,Image Recognition,https://en.wikipedia.org/wiki/Computer_vision#Recognition,
immws,Immersive Workspaces,https://en.wikipedia.org/wiki/Immersive_technology,
influenceEng,Influence Engineering,https://www.cardiff.ac.uk/crime-security-research-institute/publications/research-briefings/digital-influence-engineering,
inmemDBMS,In-Memory Database Management Systems,https://en.wikipedia.org/wiki/In-memory_database,
interactiveTV,Interactive TV,https://en.wikipedia.org/wiki/Interactive_television,
iot,Internet of Things,https://en.wikipedia.org/wiki/Internet_of_things,
iotPlatform,IoT Platform,https://www.kaaproject.org/blog/what-is-iot-platform,iot
ipad,Media Tablets,https://en.wikipedia.org/wiki/Tablet_computer,tabletPC
jobBank,Internal Talent Marketplaces,https://www.techtarget.com/searchhrsoftware/feature/4-best-practices-for-creating-an-internal-talent-marketplace,
kindle,E-Book Readers,https://en.wikipedia.org/wiki/E-reader,
kinect,Gesture Control Devices,https://www.analyticsinsight.net/things-about-gesture-control-devices-you-should-not-miss/,gestureRecog
knowGraph,Knowledge Graphs,https://en.wikipedia.org/wiki/Knowledge_graph,
lambdaPaas,Serverless Paas,https://www.cloudflare.com/learning/serverless/glossary/serverless-vs-paas/,
lcsbcEdge,Low-Cost Single-Board Computers at the Edge,https://www.digikey.co.uk/en/articles/use-single-board-computers-to-create-an-iiot-edge-computing-platform,
locAware,Location-Aware Technology,https://en.wikipedia.org/wiki/Location_awareness,
locAwareApp,Location-Aware Applications,https://www.techopedia.com/definition/30836/location-aware-application,
locIntel,Location Intelligence,https://www.esri.com/en-us/location-intelligence,
loic,Low-Earth-Orbit Satellite Systems,https://en.wikipedia.org/wiki/Low_Earth_orbit,
m2m,Machine-to-Machine Communication Services,https://en.wikipedia.org/wiki/Machine_to_machine,
mashupWeb,Mashup (webapps),https://en.wikipedia.org/wiki/Mashup_(web_application_hybrid),
metaOld,Public Virtual Worlds,https://en.wikipedia.org/wiki/Virtual_world,
metaReally,Metaverse,https://en.wikipedia.org/wiki/Metaverse,
microDatacenter,Micro Data Centers,https://en.wikipedia.org/wiki/Micro_data_center,
microPayment,Internet Micropayment Systems,https://en.wikipedia.org/wiki/Micropayment#Recent_systems,
mobileOta,Mobile OTA Payment,???,
mobileRobots,Mobile Robots,https://en.wikipedia.org/wiki/Mobile_robot,
moc,Enterprise Instant Messaging,https://en.wikipedia.org/wiki/Instant_messaging,
mva,Minimum Viable Arhitecture,https://www.softwareyoga.com/minimum-viable-architecture/,
namedData,Named Data Networking,https://en.wikipedia.org/wiki/Named_data_networking,
netTV,Internet TV,https://en.wikipedia.org/wiki/Streaming_television,
neurobusiness,Neurobusiness,???,
neuromorphic,Neuromorphic Hardware,https://en.wikipedia.org/wiki/Neuromorphic_engineering,
nfcBase,Near-field Communication,https://en.wikipedia.org/wiki/Near-field_communication,
nfcPayment,NFC Payment,https://en.wikipedia.org/wiki/Near-field_communication#Commerce,nfc
nft,Nonfungible Tokens (NFT),https://en.wikipedia.org/wiki/Non-fungible_token,
nlqa,Natural-Language Question Answering,https://en.wikipedia.org/wiki/Question_answering,
mixedReality,Mixed Reality,https://en.wikipedia.org/wiki/Mixed_reality,
machineReadLaw,Machine-Readable Legislation,https://medium.com/@tjharrop/what-are-machine-readable-laws-8c9f39159cb5,
meshNetS,Mesh Networks: Sensor,https://en.wikipedia.org/wiki/Mesh_networking,
multiexp,Multiexperience,https://www.cigniti.com/blog/multiexperience-enterprise-digital-transformation/
obsDev,Observability-Driven Development,https://www.infoq.com/articles/observability-driven-development/,
ontology,Ontologies and Graphs,https://enterprise-knowledge.com/whats-the-difference-between-an-ontology-and-a-knowledge-graph/,
optane,Optane/MRAM/ReRAM etc.,https://venturebeat.com/2019/11/13/3-emerging-memory-technologies-that-will-change-how-you-handle-data/,
packagedBusiness,Packaged Business Capabilities,https://www.elasticpath.com/blog/what-are-packaged-business-capablities,
penTablet,Pen-Centric Tablet PCs,https://en.wikipedia.org/wiki/Microsoft_Tablet_PC,tabletPC
peopleLitTech,People-Literate Technology,https://www.ordnancesurvey.co.uk/newsroom/insights/people-literate-technology,
platformEng,Platform Engineering,https://platformengineering.org/blog/what-is-platform-engineering,
portPers,Portable Personality,https://en.wikipedia.org/wiki/Personality_computing,
qrCode,QR/Color Code,https://en.wikipedia.org/wiki/QR_code,
quantSelf,Quantified Self,https://en.wikipedia.org/wiki/Quantified_self,
quantum,Quantum Computing,https://en.wikipedia.org/wiki/Quantum_computing,
quantumMl,Quantum ML,https://en.wikipedia.org/wiki/Quantum_machine_learning,
rdp,Hosted Virtual Desktops,https://en.wikipedia.org/wiki/Desktop_virtualization,
rfidItem,RFID (Item),https://en.wikipedia.org/wiki/Radio-frequency_identification,
rfidWarehouse,RFID (Case/Pallet),https://en.wikipedia.org/wiki/Radio-frequency_identification#Commerce,
rssComp,RSS Enterprise,https://en.wikipedia.org/wiki/RSS,
rticaas,Real-Time Incident Center as a Service,https://www.sisainfosec.com/blogs/6-reasons-why-you-need-incident-response-as-a-service/,
sase,Secure Access Service Edge,https://www.paloaltonetworks.com/cyberpedia/what-is-sase,
securityMesh,Cybersecurity Mesh Architecture,https://www.fortinet.com/resources/cyberglossary/what-is-cybersecurity-mesh,
selfdriveBase,Autonomous Vehicles,https://en.wikipedia.org/wiki/Self-driving_car,
selfdriveField,Autonomous Field Vehicles,???,
selfdriveFly,Flying Autonomous Vehicles,https://en.wikipedia.org/wiki/Flying_car,selfdriveBase
selfdriveL4,Autonomous Driving Level 4,https://en.wikipedia.org/wiki/Self-driving_car#Classification,selfdriveBase
selfdriveL5,Autonomous Driving Level 5,https://en.wikipedia.org/wiki/Self-driving_car#Classification,selfdriveBase
selfIntApp,Self-Integrating Applications,https://www.researchgate.net/publication/226226526_Toward_Self-Integrating_Software_Applications_for_Supply_Chain_Management,
selfHealSystems,Self-Healing System Technology,https://technologyconversations.com/2016/01/26/self-healing-systems/,
speechRecog,Speech Recognition,https://en.wikipedia.org/wiki/Speech_recognition,
speechTranslate,Speech-to-Speech Translation,https://ai.googleblog.com/2019/05/introducing-translatotron-end-to-end.html,
siliconAnode,Silicon Anode Batteries,https://en.wikipedia.org/wiki/Lithium%E2%80%93silicon_battery,
smallData,Small Data,https://en.wikipedia.org/wiki/Small_data,
smartAdv,Smart Advisors,???,
smartDataDisc,Smart Data Discovery,https://www.ibm.com/uk-en/analytics/smart-data-discovery,
smartDust,Smart Dust,https://en.wikipedia.org/wiki/Smartdust,
smartFabric,Smart Fabrics,https://en.wikipedia.org/wiki/E-textiles,
smartRobots,Smart Robots,https://whatis.techtarget.com/definition/smart-robot,
smartWorkspace,Smart Workspace,https://www.dropbox.com/en_GB/smart-workspace,
sdfoo,Software-Defined Anything,https://www.techopedia.com/definition/29658/software-defined-anything-sdx,
semweb,Semantic Web,https://en.wikipedia.org/wiki/Semantic_Web,
soa,Service-oriented architecture,https://en.wikipedia.org/wiki/Service-oriented_architecture,
soba,Service-oriented Business Applications,https://www.techopedia.com/definition/4954/service-oriented-business-application-soba,
socdisttech,Social Distancing Technologies,https://www.triaxtec.com/blog/proximity-trace/what-is-social-distancing-technology-and-why-your-workplace-needs-it/
socComputing,Social Computing Platforms,,https://en.wikipedia.org/wiki/Social_computing
socSW,Social Software Suites,https://en.wikipedia.org/wiki/Social_software,
socTV,Social TV,https://en.wikipedia.org/wiki/Social_television,
softsec,Software-Defined Security,https://www.entsoe.eu/Technopedia/techsheets/software-defined-security,
sovCloud,Sovereign Cloud,https://techmonitor.ai/techonology/cloud/sovereign-cloud,
ssd,Solid-State Drives,https://en.wikipedia.org/wiki/Solid-state_drive,
superapp,Superapps,https://en.wikipedia.org/wiki/Super-app,
surfaceUI,Surface Computers,https://en.wikipedia.org/wiki/Surface_computing,
synthData,Synthetic Data,https://en.wikipedia.org/wiki/Synthetic_data,
tabletPC,Tablet PCs,https://en.wikipedia.org/wiki/Tablet_computer,
tangibleUI,Tangible User Interfaces,https://en.wikipedia.org/wiki/Tangible_user_interface,
taxonomy,Enterprise Taxonomy and Ontology Management,https://www.expert.ai/blog/enterprise-taxonomy-ontology-management/,
telemetry,Open Telemetry,https://opentelemetry.io/,
teraArch,Tera-architectures,???,
thzWave,Terahertz Waves,https://en.wikipedia.org/wiki/Terahertz_radiation#Terahertz_gap,
twitter,Microblogging,https://en.wikipedia.org/wiki/Microblogging,
userGenContent,Consumer-Generated Media,https://en.wikipedia.org/wiki/User-generated_content,
videoSearch,Video Search,https://en.wikipedia.org/wiki/Video_search_engine,
videoTeleP,Video Telepresence,https://en.wikipedia.org/wiki/Telepresence#Vision_and_sound,
virtualAssistant,Virtual Assistants,https://en.wikipedia.org/wiki/Virtual_assistant,
virtualWorld,Virtual Environments/Virtual Worlds,https://en.wikipedia.org/wiki/Virtual_world,
volumeDisplay,Volumetric Displays,https://en.wikipedia.org/wiki/Volumetric_display,holoDisplay
vr,Virtual Reality,https://en.wikipedia.org/wiki/Virtual_reality,
yt,Online Video,https://en.wikipedia.org/wiki/Online_video_platform#Video_hosting_sites,
web2,Web2,https://en.wikipedia.org/wiki/Web_2.0,
web2wp,Web2 Workplace Technologies,https://en.wikipedia.org/wiki/Web_2.0,web2
web3,Web3,https://en.wikipedia.org/wiki/Web3,
webPlat,Web Platforms,https://en.wikipedia.org/wiki/Web_platform,
webSvc,Basic Web Services,https://en.wikipedia.org/wiki/Web_service,
wifi6,802.11ax,https://en.wikipedia.org/wiki/Wi-Fi_6,
wiki,Wikis,https://en.wikipedia.org/wiki/Wiki,
wirelessCharger,Wireless Power,https://en.wikipedia.org/wiki/Wireless_power_transfer,
zoom,Employee Communications Applications,https://www.beekeeper.io/blog/gartner-report-reveals-mobile-first-employee-communications-applications-are-the-future-of-internal-communications/,
